Date,Total_Sales,Total_Profit,Total_Quantity,Avg_Discount,Order_Count,Profit_Margin
2014-01-01,57079.43,3267.71,99,0.045454545454545456,11,5.7248469369788735
2014-01-02,83111.73,2763.61,95,0.05,11,3.325174436869501
2014-01-03,43311.72,3214.1800000000003,50,0.04285714285714286,7,7.421039847874894
2014-01-04,23536.949999999997,-728.23,30,0.0,3,-3.0939862641506233
2014-01-05,54043.76,3285.49,52,0.044444444444444446,9,6.079314244604742
2014-01-06,6747.13,637.97,31,0.03333333333333333,3,9.455427715191496
2014-01-07,57996.98,1052.6,54,0.05,8,1.8149220873224774
2014-01-08,49968.62,-4850.580000000001,68,0.08571428571428572,7,-9.707252271525611
2014-01-09,4252.7,-252.34,8,0.2,1,-5.933642156747478
2014-01-10,18188.25,-2297.3599999999997,50,0.016666666666666666,6,-12.631011779582971
2014-01-11,38478.799999999996,5712.57,66,0.08571428571428572,7,14.846019106624947
2014-01-12,46556.840000000004,3036.3,62,0.025,8,6.521705510941035
2014-01-13,47415.96,7981.37,64,0.0,7,16.83266562566697
2014-01-14,64507.299999999996,691.73,80,0.12777777777777777,9,1.0723282481207554
2014-01-15,43063.38,-4979.05,70,0.1125,8,-11.562143984053273
2014-01-16,18580.67,3292.4700000000003,47,0.0642857142857143,7,17.71986693698344
2014-01-17,71787.41,8761.96,93,0.009090909090909092,11,12.205427107622352
2014-01-18,21085.75,2057.7,44,0.12,5,9.75872330839548
2014-01-19,54532.96,2966.06,67,0.05454545454545456,11,5.439022565435655
2014-01-20,3195.61,761.56,15,0.0,2,23.83144376191087
2014-01-21,99898.72,10308.4,97,0.0642857142857143,14,10.318850932224157
2014-01-22,92578.94,6052.639999999999,60,0.014285714285714287,7,6.5378151877738055
2014-01-23,51521.869999999995,4075.26,62,0.10833333333333334,6,7.909767250295846
2014-01-24,41999.53,-1099.8999999999996,46,0.042857142857142864,7,-2.6188388298630954
2014-01-25,29548.600000000002,-3991.32,44,0.075,6,-13.50764503225195
2014-01-26,33783.61,24.549999999999898,66,0.05,10,0.07266837380611454
2014-01-27,12232.27,-691.97,41,0.05,4,-5.656922222939814
2014-01-28,94220.87,4220.91,132,0.059375000000000004,16,4.479803678314582
2014-01-29,17672.7,3858.3699999999994,19,0.0,3,21.832374226914954
2014-01-30,28467.91,1705.87,48,0.05000000000000001,6,5.992255841753047
2014-01-31,99142.11,5541.789999999999,103,0.06363636363636363,11,5.589743853545178
2014-02-01,52512.07,6833.51,63,0.04375,8,13.013217723087283
2014-02-02,31057.25,1132.1099999999994,43,0.10714285714285714,7,3.645235814503858
2014-02-03,31455.239999999998,-1811.52,41,0.028571428571428574,7,-5.759040465118054
2014-02-04,30929.77,1158.95,52,0.04285714285714286,7,3.7470372395268376
2014-02-05,14943.8,-687.54,33,0.07222222222222223,9,-4.600837805645151
2014-02-06,64896.51,4130.93,83,0.03888888888888889,9,6.365411637698237
2014-02-07,46121.29,-5911.87,60,0.05714285714285715,7,-12.818093336071042
2014-02-08,48603.09,5849.19,70,0.10714285714285714,7,12.034605207199789
2014-02-09,72198.53,2459.55,62,0.02727272727272728,11,3.406648307105422
2014-02-10,27112.25,-670.64,33,0.02,5,-2.4735682210071093
2014-02-11,65103.47,4923.049999999999,77,0.034999999999999996,10,7.5618857182266925
2014-02-12,16616.23,4564.33,51,0.06,5,27.46910701163862
2014-02-13,44622.51,2386.8099999999995,52,0.04,5,5.3488922967354355
2014-02-14,20905.83,2080.93,33,0.024999999999999998,6,9.953826277167659
2014-02-15,6381.97,493.58000000000004,20,0.09999999999999999,3,7.733975559270884
2014-02-16,54296.46,17594.739999999998,53,0.0,5,32.404948683579
2014-02-17,17600.71,-2802.95,27,0.06666666666666667,3,-15.925209835285054
2014-02-18,43138.86,4676.179999999999,49,0.08571428571428572,7,10.839832114246875
2014-02-19,25407.7,625.9200000000001,29,0.0,5,2.463505157885208
2014-02-20,22331.9,926.81,51,0.02142857142857143,7,4.150161876060702
2014-02-21,43612.86,11668.32,33,0.075,4,26.754310540514886
2014-02-22,28434.269999999997,2942.9,25,0.125,4,10.349834899928855
2014-02-23,73734.4,-8500.300000000001,78,0.027777777777777776,9,-11.528269030466108
2014-02-24,29544.41,418.1500000000005,45,0.11666666666666665,6,1.4153269603285377
2014-02-25,78095.41,9885.51,58,0.075,6,12.658247136419412
2014-02-26,41304.55,4395.860000000001,47,0.08,5,10.642556328540078
2014-02-27,44015.35,1114.4,79,0.05,10,2.531844004421185
2014-02-28,36024.54,3576.2699999999995,32,0.024999999999999998,6,9.92731621278162
2014-03-01,18965.75,-459.87,44,0.056249999999999994,8,-2.424739332744553
2014-03-02,19683.93,52.04000000000008,67,0.075,8,0.2643780992921641
2014-03-03,67501.85,5800.5,74,0.0625,8,8.593097818800521
2014-03-04,26096.86,4924.25,22,0.03333333333333333,3,18.869128316586746
2014-03-05,50078.27,1579.9299999999998,44,0.04,5,3.154921286218553
2014-03-06,12883.869999999999,-2886.22,11,0.1,2,-22.401809394227044
2014-03-07,12192.66,2191.33,11,0.0,2,17.972534295223518
2014-03-08,1758.83,118.74,10,0.2,1,6.751078842184861
2014-03-09,19271.67,188.41999999999996,22,0.1,4,0.9777045787936385
2014-03-10,21125.73,969.5899999999999,68,0.042857142857142864,7,4.589616548161886
2014-03-11,74525.8,-2114.53,101,0.09166666666666666,12,-2.8373127158648415
