Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Month_Name,Order_Quarter,Order_DayOfWeek,Shipping_Days,Sales_Capped,Profit_Capped,Profit_Margin,Year,Month,Month_Name,Quarter,Day_of_Week,Is_Weekend,Sales_Category,Profit_Status,Discount_Category
CA-10000,2017-02-04,2017-02-09,Second Class,Customer_309,Home Office,United States,City_492,Indiana,54132,Central,PROD-7949,Furniture,Bookcases,Bookcases Product 130,9073.7,10,0.0,-2353.19,2017,2,February,1,Saturday,5,9073.7,-1647.4350000000002,-25.9341834091936,2017,2,February,1,Saturday,True,>$5K,Loss,No Discount
CA-10001,2017-08-30,2017-09-05,Standard Class,Customer_190,Consumer,United States,City_446,Tennessee,28432,South,PROD-5658,Furniture,Furnishings,Furnishings Product 108,363.49,9,0.0,46.63,2017,8,August,3,Wednesday,6,363.49,46.63,12.828413436408153,2017,8,August,3,Wednesday,False,$100-500,Profitable,No Discount
CA-10002,2015-10-09,2015-10-14,Standard Class,Customer_340,Consumer,United States,City_444,Indiana,83970,Central,PROD-1775,Furniture,Bookcases,Bookcases Product 175,1384.47,2,0.2,416.38,2015,10,October,4,Friday,5,1384.47,416.38,30.075046768799613,2015,10,October,4,Friday,False,$1K-5K,Profitable,Medium
CA-10003,2017-11-12,2017-11-14,Standard Class,Customer_202,Home Office,United States,City_270,Texas,55759,Central,PROD-8629,Office Supplies,Fasteners,Fasteners Product 190,1292.71,6,0.0,-220.54,2017,11,November,4,Sunday,2,1292.71,-220.54,-17.060284209142036,2017,11,November,4,Sunday,True,$1K-5K,Loss,No Discount
CA-10004,2016-05-28,2016-06-02,Standard Class,Customer_521,Corporate,United States,City_492,Tennessee,48045,South,PROD-3695,Furniture,Tables,Tables Product 63,8032.72,9,0.0,641.71,2016,5,May,2,Saturday,5,8032.72,641.71,7.988701212042745,2016,5,May,2,Saturday,True,>$5K,Profitable,No Discount
CA-10005,2015-02-23,2015-02-24,Standard Class,Customer_33,Consumer,United States,City_407,Michigan,32663,Central,PROD-9996,Furniture,Furnishings,Furnishings Product 99,9207.61,10,0.0,-2015.47,2015,2,February,1,Monday,1,9207.61,-1647.4350000000002,-21.88917645295576,2015,2,February,1,Monday,False,>$5K,Loss,No Discount
CA-10006,2016-08-18,2016-08-21,Standard Class,Customer_207,Consumer,United States,City_42,Louisiana,16911,South,PROD-8035,Office Supplies,Art,Art Product 179,898.79,14,0.15,156.78,2016,8,August,3,Thursday,3,898.79,156.78,17.443451751799643,2016,8,August,3,Thursday,False,$500-1K,Profitable,Medium
CA-10007,2016-10-17,2016-10-21,Standard Class,Customer_243,Consumer,United States,City_66,Minnesota,43828,Central,PROD-3693,Furniture,Furnishings,Furnishings Product 28,9548.86,7,0.0,743.75,2016,10,October,4,Monday,4,9548.86,743.75,7.788887888187699,2016,10,October,4,Monday,False,>$5K,Profitable,No Discount
CA-10008,2017-10-03,2017-10-04,First Class,Customer_359,Consumer,United States,City_411,South Carolina,16777,South,PROD-5413,Office Supplies,Envelopes,Envelopes Product 165,162.41,1,0.0,24.91,2017,10,October,4,Tuesday,1,162.41,24.91,15.337725509512962,2017,10,October,4,Tuesday,False,$100-500,Profitable,No Discount
CA-10009,2017-10-29,2017-10-30,Second Class,Customer_613,Consumer,United States,City_81,Arizona,62734,West,PROD-1698,Office Supplies,Fasteners,Fasteners Product 113,2868.58,14,0.3,750.42,2017,10,October,4,Sunday,1,2868.58,750.42,26.1599815936805,2017,10,October,4,Sunday,True,$1K-5K,Profitable,High
CA-10010,2017-06-02,2017-06-03,Second Class,Customer_203,Consumer,United States,City_401,Pennsylvania,36310,East,PROD-9958,Office Supplies,Envelopes,Envelopes Product 38,247.17,2,0.0,3.32,2017,6,June,2,Friday,1,247.17,3.32,1.3432050815228385,2017,6,June,2,Friday,False,$100-500,Profitable,No Discount
CA-10011,2016-09-08,2016-09-11,Standard Class,Customer_403,Corporate,United States,City_147,Tennessee,61664,South,PROD-3911,Office Supplies,Paper,Paper Product 199,409.13,1,0.0,22.8,2016,9,September,3,Thursday,3,409.13,22.8,5.572800821254858,2016,9,September,3,Thursday,False,$100-500,Profitable,No Discount
CA-10012,2015-07-05,2015-07-07,Second Class,Customer_263,Corporate,United States,City_346,Arkansas,57255,South,PROD-9815,Furniture,Furnishings,Furnishings Product 60,13875.77,11,0.0,-3060.56,2015,7,July,3,Sunday,2,13875.77,-1647.4350000000002,-22.05686603338049,2015,7,July,3,Sunday,True,>$5K,Loss,No Discount
CA-10013,2014-09-11,2014-09-15,First Class,Customer_152,Consumer,United States,City_161,Washington,52643,West,PROD-2648,Furniture,Furnishings,Furnishings Product 164,9357.61,11,0.0,-980.58,2014,9,September,3,Thursday,4,9357.61,-980.58,-10.478957768062571,2014,9,September,3,Thursday,False,>$5K,Loss,No Discount
CA-10014,2017-02-09,2017-02-15,Second Class,Customer_681,Consumer,United States,City_68,Florida,87506,East,PROD-7944,Office Supplies,Art,Art Product 142,4233.29,9,0.0,-793.46,2017,2,February,1,Thursday,6,4233.29,-793.46,-18.743341467274863,2017,2,February,1,Thursday,False,$1K-5K,Loss,No Discount
CA-10015,2015-02-05,2015-02-06,Same Day,Customer_563,Home Office,United States,City_283,Nevada,16894,West,PROD-1225,Technology,Copiers,Copiers Product 21,15171.46,11,0.0,-1734.98,2015,2,February,1,Thursday,1,15171.46,-1647.4350000000002,-11.435814351420365,2015,2,February,1,Thursday,False,>$5K,Loss,No Discount
CA-10016,2015-03-29,2015-04-02,Standard Class,Customer_46,Home Office,United States,City_99,New York,83745,East,PROD-2060,Technology,Machines,Machines Product 24,5460.02,3,0.0,1299.42,2015,3,March,1,Sunday,4,5460.02,1299.42,23.798813923758523,2015,3,March,1,Sunday,True,>$5K,Profitable,No Discount
CA-10017,2015-08-30,2015-09-02,Standard Class,Customer_18,Corporate,United States,City_223,California,16103,West,PROD-7709,Office Supplies,Appliances,Appliances Product 58,1961.06,4,0.0,-59.68,2015,8,August,3,Sunday,3,1961.06,-59.68,-3.0432521187521036,2015,8,August,3,Sunday,True,$1K-5K,Loss,No Discount
CA-10018,2015-09-18,2015-09-25,Second Class,Customer_246,Consumer,United States,City_477,Iowa,55018,Central,PROD-6801,Office Supplies,Fasteners,Fasteners Product 26,990.15,2,0.0,-92.38,2015,9,September,3,Friday,7,990.15,-92.38,-9.329899510175226,2015,9,September,3,Friday,False,$500-1K,Loss,No Discount
CA-10019,2015-06-09,2015-06-13,Second Class,Customer_471,Consumer,United States,City_354,Illinois,87576,Central,PROD-6919,Furniture,Furnishings,Furnishings Product 191,7035.06,9,0.0,-1153.81,2015,6,June,2,Tuesday,4,7035.06,-1153.81,-16.400855145514036,2015,6,June,2,Tuesday,False,>$5K,Loss,No Discount
CA-10020,2015-07-29,2015-08-04,Standard Class,Customer_444,Consumer,United States,City_264,Ohio,80314,East,PROD-4124,Furniture,Tables,Tables Product 60,4512.16,10,0.15,-478.74,2015,7,July,3,Wednesday,6,4512.16,-478.74,-10.609996099429098,2015,7,July,3,Wednesday,False,$1K-5K,Loss,Medium
CA-10021,2016-02-13,2016-02-18,Same Day,Customer_106,Consumer,United States,City_145,Tennessee,83524,South,PROD-9311,Technology,Machines,Machines Product 63,7367.24,14,0.0,1077.1,2016,2,February,1,Saturday,5,7367.24,1077.1,14.6201291121234,2016,2,February,1,Saturday,True,>$5K,Profitable,No Discount
